Año,variable,value
2010,Carbón Mineral,29.89
2011,Carbón Mineral,229.2
2012,Carbón Mineral,91.97
2013,Carbón Mineral,204.32
2014,Carbón Mineral,248.1
2015,Carbón Mineral,14.0
2016,Carbón Mineral,13.51
2017,Carbón Mineral,214.02
2018,Carbón Mineral,13.87
2019,Carbón Mineral,10.19
2010,Coque,2675.36
2011,Coque,3717.92
2012,Coque,3382.79
2013,Coque,3359.27
2014,Coque,3288.28
2015,Coque,3211.7
2016,Coque,3493.96
2017,Coque,3786.46
2018,Coque,3534.58
2019,Coque,1728.44
2010,Leña,13998.14
2011,Leña,12839.58
2012,Leña,12161.88
2013,Leña,12059.79
2014,Leña,11066.46
2015,Leña,10825.7
2016,Leña,10170.89
2017,Leña,10211.16
2018,Leña,8603.49
2019,Leña,8582.54
2010,Bagazo,9836.32
2011,Bagazo,7729.44
2012,Bagazo,8088.95
2013,Bagazo,9864.93
2014,Bagazo,10318.32
2015,Bagazo,10072.36
2016,Bagazo,10072.36
2017,Bagazo,9359.19
2018,Bagazo,9134.57
2019,Bagazo,9060.66
2010,Otros Res. Veg.,4395.7
2011,Otros Res. Veg.,4448.78
2012,Otros Res. Veg.,4385.46
2013,Otros Res. Veg.,4161.97
2014,Otros Res. Veg.,4360.37
2015,Otros Res. Veg.,3789.58
2016,Otros Res. Veg.,3742.2
2017,Otros Res. Veg.,3329.99
2018,Otros Res. Veg.,3224.83
2019,Otros Res. Veg.,3258.67
2010,Carbón Vegetal,41.8
2011,Carbón Vegetal,32.34
2012,Carbón Vegetal,35.59
2013,Carbón Vegetal,38.29
2014,Carbón Vegetal,47.01
2015,Carbón Vegetal,56.85
2016,Carbón Vegetal,44.58
2017,Carbón Vegetal,46.34
2018,Carbón Vegetal,42.19
2019,Carbón Vegetal,38.18
2010,Casc. de Café,375.26
2011,Casc. de Café,407.07
2012,Casc. de Café,461.19
2013,Casc. de Café,461.19
2014,Casc. de Café,371.96
2015,Casc. de Café,371.37
2016,Casc. de Café,437.15
2017,Casc. de Café,400.44
2018,Casc. de Café,347.55
2019,Casc. de Café,372.59
2010,Biogas,2.99
2011,Biogas,2.99
2012,Biogas,3.03
2013,Biogas,3.03
2014,Biogas,3.03
2015,Biogas,3.03
2016,Biogas,3.03
2017,Biogas,3.03
2018,Biogas,3.03
2019,Biogas,3.03
2010,Electricidad,30832.33
2011,Electricidad,31223.25
2012,Electricidad,32468.42
2013,Electricidad,32767.3
2014,Electricidad,31149.97
2015,Electricidad,33942.28
2016,Electricidad,35225.1
2017,Electricidad,35642.33
2018,Electricidad,35958.98
2019,Electricidad,36573.21
2010,G.L.P,5404.43
2011,G.L.P,5542.26
2012,G.L.P,5708.17
2013,G.L.P,6032.98
2014,G.L.P,6479.78
2015,G.L.P,6817.76
2016,G.L.P,7464.69
2017,G.L.P,7934.88
2018,G.L.P,8215.2
2019,G.L.P,8736.27
2010,Gasolina Regular,19138.93
2011,Gasolina Regular,19073.05
2012,Gasolina Regular,19309.81
2013,Gasolina Regular,19657.83
2014,Gasolina Regular,19525.17
2015,Gasolina Regular,20132.66
2016,Gasolina Regular,20419.83
2017,Gasolina Regular,20565.07
2018,Gasolina Regular,20563.59
2019,Gasolina Regular,21566.84
2010,Gasolina Súper,12426.14
2011,Gasolina Súper,13200.62
2012,Gasolina Súper,14356.44
2013,Gasolina Súper,14599.83
2014,Gasolina Súper,15559.74
2015,Gasolina Súper,17866.27
2016,Gasolina Súper,20610.48
2017,Gasolina Súper,21401.84
2018,Gasolina Súper,21740.81
2019,Gasolina Súper,22426.14
2010,Kerosene,128.74
2011,Kerosene,164.18
2012,Kerosene,282.75
2013,Kerosene,257.25
2014,Kerosene,261.09
2015,Kerosene,303.5
2016,Kerosene,287.68
2017,Kerosene,275.21
2018,Kerosene,245.85
2019,Kerosene,204.06
2010,Jet Fuel,7138.21
2011,Jet Fuel,7436.25
2012,Jet Fuel,7369.51
2013,Jet Fuel,6869.56
2014,Jet Fuel,6937.01
2015,Jet Fuel,7575.9
2016,Jet Fuel,8462.44
2017,Jet Fuel,8446.03
2018,Jet Fuel,9379.58
2019,Jet Fuel,9973.41
2010,Av-Gas,58.09
2011,Av-Gas,55.96
2012,Av-Gas,54.38
2013,Av-Gas,52.24
2014,Av-Gas,48.56
2015,Av-Gas,48.37
2016,Av-Gas,49.15
2017,Av-Gas,53.16
2018,Av-Gas,41.04
2019,Av-Gas,41.83
2010,Diesel,37366.9
2011,Diesel,37846.49
2012,Diesel,38341.17
2013,Diesel,38437.05
2014,Diesel,39234.72
2015,Diesel,41315.37
2016,Diesel,43900.44
2017,Diesel,44661.06
2018,Diesel,44766.79
2019,Diesel,44303.51
2010,Gasoleo,230.96
2011,Gasoleo,253.23
2012,Gasoleo,280.72
2013,Gasoleo,285.36
2014,Gasoleo,275.64
2015,Gasoleo,250.41
2016,Gasoleo,290.26
2017,Gasoleo,372.48
2018,Gasoleo,393.71
2019,Gasoleo,391.21
2010,Fuel Oil,5037.69
2011,Fuel Oil,4776.77
2012,Fuel Oil,5038.86
2013,Fuel Oil,4530.13
2014,Fuel Oil,4184.0
2015,Fuel Oil,4199.91
2016,Fuel Oil,4287.28
2017,Fuel Oil,4273.74
2018,Fuel Oil,4107.84
2019,Fuel Oil,4145.23
2010,Total,149114.89
2011,Total,148979.37
2012,Total,151821.08
2013,Total,153642.31
2014,Total,155359.2
2015,Total,160797.02
2016,Total,168975.04
2017,Total,170976.41
2018,Total,170317.49
2019,Total,171416.03
