Año,variable,value
2010,Hidro,26144.25
2011,Hidro,25684.64
2012,Hidro,26039.52
2013,Hidro,24663.76
2014,Hidro,24181.75
2015,Hidro,29039.71
2016,Hidro,28893.4
2017,Hidro,31237.06
2018,Hidro,30034.43
2019,Hidro,28175.98
2010,Geotérmica,4233.89
2011,Geotérmica,4606.35
2012,Geotérmica,5049.18
2013,Geotérmica,5460.25
2014,Geotérmica,5537.29
2015,Geotérmica,4952.26
2016,Geotérmica,4822.25
2017,Geotérmica,4024.2
2018,Geotérmica,3486.85
2019,Geotérmica,5445.27
2010,Eólica,1291.23
2011,Eólica,1492.11
2012,Eólica,1902.18
2013,Eólica,1744.45
2014,Eólica,2645.11
2015,Eólica,3886.23
2016,Eólica,4130.25
2017,Eólica,4635.64
2018,Eólica,6475.95
2019,Eólica,6466.84
2010,Biomasa,521.41
2011,Biomasa,500.37
2012,Biomasa,643.04
2013,Biomasa,659.94
2014,Biomasa,650.24
2015,Biomasa,645.38
2016,Biomasa,617.42
2017,Biomasa,664.24
2018,Biomasa,625.19
2019,Biomasa,608.57
2010,Solar,0.93
2011,Solar,1.73
2012,Solar,4.67
2013,Solar,8.8
2014,Solar,8.88
2015,Solar,9.12
2016,Solar,8.69
2017,Solar,16.03
2018,Solar,201.76
2019,Solar,215.35
2010,Térmica,2308.23
2011,Térmica,3108.03
2012,Térmica,2989.02
2013,Térmica,4305.59
2014,Térmica,3755.53
2015,Térmica,389.23
2016,Térmica,694.89
2017,Térmica,134.7
2018,Térmica,570.78
2019,Térmica,344.29
2010,Total,34499.95
2011,Total,35393.24
2012,Total,36627.6
2013,Total,36842.78
2014,Total,36778.79
2015,Total,38921.94
2016,Total,39166.91
2017,Total,40711.86
2018,Total,41394.96
2019,Total,41256.29
