Technology,Year,Electricity generation by country/area (GWh)
Biogas,2007,31035.798
Biogas,2008,35762.577
Biogas,2009,40651.045
Biogas,2010,46193.236
Biogas,2011,53839.35
Biogas,2012,64545.214
Biogas,2013,73485.763
Biogas,2014,79811.107
Biogas,2015,83398.035
Biogas,2016,86472.696
Biogas,2017,88139.166
Biogas,2018,90042.41
Biogas,2019,91139.333
Concentrated solar power,2007,685.01
Concentrated solar power,2008,910.247
Concentrated solar power,2009,934.285
Concentrated solar power,2010,1664.561
Concentrated solar power,2011,3208.249
Concentrated solar power,2012,5481.092
Concentrated solar power,2013,6186.248
Concentrated solar power,2014,9139.344
Concentrated solar power,2015,10196.023
Concentrated solar power,2016,11156.948
Concentrated solar power,2017,12010.244
Concentrated solar power,2018,12045.09
Concentrated solar power,2019,14064.308
Fossil fuels,2007,13341248.57
Fossil fuels,2008,13513303.65
Fossil fuels,2009,13311603.37
Fossil fuels,2010,14269514.71
Fossil fuels,2011,14924398.43
Fossil fuels,2012,15264888.91
Fossil fuels,2013,15625340.42
Fossil fuels,2014,15693175.72
Fossil fuels,2015,15849540.12
Fossil fuels,2016,16063575.21
Fossil fuels,2017,16397492.84
Fossil fuels,2018,16840612.97
Fossil fuels,2019,16658019.89
Geothermal energy,2007,62376.077
Geothermal energy,2008,64884.387
Geothermal energy,2009,66887.328
Geothermal energy,2010,68066.957
Geothermal energy,2011,69456.119
Geothermal energy,2012,70441.951
Geothermal energy,2013,71961.011
Geothermal energy,2014,76893.676
Geothermal energy,2015,80804.899
Geothermal energy,2016,82870.722
Geothermal energy,2017,85618.052
Geothermal energy,2018,89120.653
Geothermal energy,2019,91647.188
Liquid biofuels,2007,1692.71
Liquid biofuels,2008,2214.16
Liquid biofuels,2009,4225.031
Liquid biofuels,2010,5601.65
Liquid biofuels,2011,4067.263
Liquid biofuels,2012,4341.367
Liquid biofuels,2013,5093.97
Liquid biofuels,2014,6380.251
Liquid biofuels,2015,7790.162
Liquid biofuels,2016,7218.607
Liquid biofuels,2017,6785.342
Liquid biofuels,2018,7302.24
Liquid biofuels,2019,8381.503
Marine energy,2007,495.159
