country,index,value
Denmark,EPI.new,82.5
Luxembourg,EPI.new,82.3
Switzerland,EPI.new,81.5
United Kingdom,EPI.new,81.3
France,EPI.new,80.0
Austria,EPI.new,79.6
Finland,EPI.new,78.9
Sweden,EPI.new,78.7
Norway,EPI.new,77.7
Germany,EPI.new,77.2
Netherlands,EPI.new,75.3
Japan,EPI.new,75.1
Australia,EPI.new,74.9
Spain,EPI.new,74.3
Belgium,EPI.new,73.3
Ireland,EPI.new,72.8
Iceland,EPI.new,72.3
Slovenia,EPI.new,72.0
New Zealand,EPI.new,71.3
Czech Republic,EPI.new,71.0
Italy,EPI.new,71.0
Canada,EPI.new,71.0
Malta,EPI.new,70.7
United States of America,EPI.new,69.3
Greece,EPI.new,69.1
Slovakia,EPI.new,68.3
Portugal,EPI.new,67.0
South Korea,EPI.new,66.5
Israel,EPI.new,65.8
Estonia,EPI.new,65.3
Cyprus,EPI.new,64.8
Romania,EPI.new,64.7
Hungary,EPI.new,63.7
Croatia,EPI.new,63.1
Lithuania,EPI.new,62.9
Latvia,EPI.new,61.6
Poland,EPI.new,60.9
Seychelles,EPI.new,58.2
Singapore,EPI.new,58.1
Taiwan,EPI.new,57.2
Bulgaria,EPI.new,57.0
United Arab Emirates,EPI.new,55.6
North Macedonia,EPI.new,55.4
Chile,EPI.new,55.3
Serbia,EPI.new,55.2
Brunei Darussalam,EPI.new,54.8
Kuwait,EPI.new,53.6
Jordan,EPI.new,53.4
Belarus,EPI.new,53.0
Colombia,EPI.new,52.9
Mexico,EPI.new,52.6
Costa Rica,EPI.new,52.5
Armenia,EPI.new,52.3
Argentina,EPI.new,52.2
Brazil,EPI.new,51.2
Ecuador,EPI.new,51.0
Bahrain,EPI.new,51.0
Russia,EPI.new,50.5
Venezuela,EPI.new,50.3
Ukraine,EPI.new,49.5
Uruguay,EPI.new,49.1
Albania,EPI.new,49.0
Antigua and Barbuda,EPI.new,48.5
Cuba,EPI.new,48.4
Saint Vincent and the Grenadines,EPI.new,48.4
Jamaica,EPI.new,48.2
Iran,EPI.new,48.0
Malaysia,EPI.new,47.9
Trinidad and Tobago,EPI.new,47.5
Panama,EPI.new,47.3
Tunisia,EPI.new,46.7
Azerbaijan,EPI.new,46.5
Paraguay,EPI.new,46.4
Montenegro,EPI.new,46.3
Dominican Republic,EPI.new,46.3
Gabon,EPI.new,45.8
Barbados,EPI.new,45.6
Thailand,EPI.new,45.4
Bosnia and Herzegovina,EPI.new,45.4
Lebanon,EPI.new,45.4
Suriname,EPI.new,45.2
Tonga,EPI.new,45.1
Mauritius,EPI.new,45.1
Algeria,EPI.new,44.8
Kazakhstan,EPI.new,44.7
Dominica,EPI.new,44.6
Moldova,EPI.new,44.4
Uzbekistan,EPI.new,44.3
Bolivia,EPI.new,44.3
Peru,EPI.new,44.0
Saudi Arabia,EPI.new,44.0
Turkmenistan,EPI.new,43.9
Bahamas,EPI.new,43.5
Egypt,EPI.new,43.3
El Salvador,EPI.new,43.1
Grenada,EPI.new,43.1
South Africa,EPI.new,43.1
Saint Lucia,EPI.new,43.1
Turkey,EPI.new,42.6
Morocco,EPI.new,42.3
Belize,EPI.new,41.9
Georgia,EPI.new,41.3
Botswana,EPI.new,40.4
Namibia,EPI.new,40.2
Kyrgyzstan,EPI.new,39.8
Iraq,EPI.new,39.5
Bhutan,EPI.new,39.3
Nicaragua,EPI.new,39.2
Sri Lanka,EPI.new,39.0
Oman,EPI.new,38.5
Philippines,EPI.new,38.4
Malawi,EPI.new,38.3
Burkina Faso,EPI.new,38.3
Tajikistan,EPI.new,38.2
Equatorial Guinea,EPI.new,38.1
Indonesia,EPI.new,37.8
Honduras,EPI.new,37.8
Kiribati,EPI.new,37.7
Sao Tome and Principe,EPI.new,37.6
China,EPI.new,37.3
Samoa,EPI.new,37.3
Qatar,EPI.new,37.1
Zimbabwe,EPI.new,37.0
Central African Republic,EPI.new,36.9
Dem. Rep. Congo,EPI.new,36.4
Guyana,EPI.new,35.9
Maldives,EPI.new,35.6
Uganda,EPI.new,35.6
Timor-Leste,EPI.new,35.3
Sudan,EPI.new,34.8
Laos,EPI.new,34.8
Zambia,EPI.new,34.7
Kenya,EPI.new,34.7
Ethiopia,EPI.new,34.4
Fiji,EPI.new,34.4
Mozambique,EPI.new,33.9
Eswatini,EPI.new,33.8
Rwanda,EPI.new,33.8
Cambodia,EPI.new,33.6
Cameroon,EPI.new,33.6
Viet Nam,EPI.new,33.4
Pakistan,EPI.new,33.1
Micronesia,EPI.new,33.0
Cabo Verde,EPI.new,32.8
Nepal,EPI.new,32.7
Papua New Guinea,EPI.new,32.4
Mongolia,EPI.new,32.2
Comoros,EPI.new,32.1
Guatemala,EPI.new,31.8
Tanzania,EPI.new,31.1
Nigeria,EPI.new,31.0
Niger,EPI.new,30.8
Marshall Islands,EPI.new,30.8
Republic of Congo,EPI.new,30.8
Senegal,EPI.new,30.7
Eritrea,EPI.new,30.4
Benin,EPI.new,30.0
Angola,EPI.new,29.7
Togo,EPI.new,29.5
Mali,EPI.new,29.4
Guinea-Bissau,EPI.new,29.1
Bangladesh,EPI.new,29.0
Vanuatu,EPI.new,28.9
Djibouti,EPI.new,28.1
Lesotho,EPI.new,28.0
Gambia,EPI.new,27.9
Mauritania,EPI.new,27.7
Ghana,EPI.new,27.6
India,EPI.new,27.6
Burundi,EPI.new,27.0
Haiti,EPI.new,27.0
Solomon Islands,EPI.new,26.7
Chad,EPI.new,26.7
Madagascar,EPI.new,26.5
Guinea,EPI.new,26.4
Cote d'Ivoire,EPI.new,25.8
Sierra Leone,EPI.new,25.7
Afghanistan,EPI.new,25.5
Myanmar,EPI.new,25.1
Liberia,EPI.new,22.6
Denmark,AIR.new,85.5
Luxembourg,AIR.new,87.2
Switzerland,AIR.new,90.6
United Kingdom,AIR.new,84.7
France,AIR.new,88.1
Austria,AIR.new,81.3
Finland,AIR.new,98.8
Sweden,AIR.new,98.2
Norway,AIR.new,97.9
Germany,AIR.new,81.1
Netherlands,AIR.new,82.4
Japan,AIR.new,85.9
Australia,AIR.new,98.2
Spain,AIR.new,80.2
Belgium,AIR.new,80.7
Ireland,AIR.new,94.0
Iceland,AIR.new,98.1
Slovenia,AIR.new,60.9
New Zealand,AIR.new,97.4
Czech Republic,AIR.new,58.8
Italy,AIR.new,75.9
Canada,AIR.new,94.8
Malta,AIR.new,77.6
United States of America,AIR.new,84.2
Greece,AIR.new,67.5
Slovakia,AIR.new,56.2
Portugal,AIR.new,84.4
South Korea,AIR.new,71.7
Israel,AIR.new,76.5
Estonia,AIR.new,80.3
Cyprus,AIR.new,73.1
Romania,AIR.new,43.6
Hungary,AIR.new,42.8
Croatia,AIR.new,50.8
Lithuania,AIR.new,62.7
Latvia,AIR.new,54.8
Poland,AIR.new,44.7
Seychelles,AIR.new,53.6
Singapore,AIR.new,76.9
Taiwan,AIR.new,53.2
Bulgaria,AIR.new,33.0
United Arab Emirates,AIR.new,48.6
North Macedonia,AIR.new,26.5
Chile,AIR.new,56.1
Serbia,AIR.new,33.6
Brunei Darussalam,AIR.new,68.4
Kuwait,AIR.new,55.0
Jordan,AIR.new,58.0
Belarus,AIR.new,49.9
Colombia,AIR.new,49.1
Mexico,AIR.new,40.8
Costa Rica,AIR.new,56.2
Armenia,AIR.new,36.3
Argentina,AIR.new,56.9
Brazil,AIR.new,50.0
Ecuador,AIR.new,48.7
Bahrain,AIR.new,41.2
Russia,AIR.new,54.1
Venezuela,AIR.new,51.3
Ukraine,AIR.new,39.8
Uruguay,AIR.new,67.7
Albania,AIR.new,41.2
Antigua and Barbuda,AIR.new,57.5
Cuba,AIR.new,53.9
Saint Vincent and the Grenadines,AIR.new,42.6
Jamaica,AIR.new,43.6
Iran,AIR.new,49.2
Malaysia,AIR.new,50.3
Trinidad and Tobago,AIR.new,57.2
Panama,AIR.new,56.0
Tunisia,AIR.new,48.7
Azerbaijan,AIR.new,24.9
Paraguay,AIR.new,47.0
Montenegro,AIR.new,33.9
Dominican Republic,AIR.new,37.4
Gabon,AIR.new,28.2
Barbados,AIR.new,66.0
Thailand,AIR.new,40.6
Bosnia and Herzegovina,AIR.new,31.6
Lebanon,AIR.new,47.8
Suriname,AIR.new,37.4
Tonga,AIR.new,39.5
Mauritius,AIR.new,51.1
Algeria,AIR.new,45.3
Kazakhstan,AIR.new,32.0
Dominica,AIR.new,44.2
Moldova,AIR.new,44.3
Uzbekistan,AIR.new,15.0
Bolivia,AIR.new,32.4
Peru,AIR.new,46.0
Saudi Arabia,AIR.new,37.4
Turkmenistan,AIR.new,42.0
Bahamas,AIR.new,55.6
Egypt,AIR.new,35.3
El Salvador,AIR.new,42.6
Grenada,AIR.new,42.9
South Africa,AIR.new,28.9
Saint Lucia,AIR.new,46.3
Turkey,AIR.new,49.5
Morocco,AIR.new,27.0
Belize,AIR.new,39.4
Georgia,AIR.new,31.1
Botswana,AIR.new,19.7
Namibia,AIR.new,24.4
Kyrgyzstan,AIR.new,27.0
Iraq,AIR.new,36.3
Bhutan,AIR.new,24.4
Nicaragua,AIR.new,41.7
Sri Lanka,AIR.new,37.8
Oman,AIR.new,36.4
Philippines,AIR.new,30.4
Malawi,AIR.new,39.6
Burkina Faso,AIR.new,28.9
Tajikistan,AIR.new,15.2
Equatorial Guinea,AIR.new,24.6
Indonesia,AIR.new,26.8
Honduras,AIR.new,35.4
Kiribati,AIR.new,29.2
Sao Tome and Principe,AIR.new,24.6
China,AIR.new,27.1
Samoa,AIR.new,33.4
Qatar,AIR.new,48.6
Zimbabwe,AIR.new,27.2
Central African Republic,AIR.new,22.0
Dem. Rep. Congo,AIR.new,29.9
Guyana,AIR.new,31.9
Maldives,AIR.new,51.2
