Country Name,Indicator Code,year,value
BES Islands,2.1_ACCESS.CFT.TOT,1990,
BES Islands,1.2_ACCESS.ELECTRICITY.RURAL,1990,
BES Islands,1.1_ACCESS.ELECTRICITY.TOT,1990,
BES Islands,1.3_ACCESS.ELECTRICITY.URBAN,1990,
BES Islands,6.1_PRIMARY.ENERGY.INTENSITY,1990,
BES Islands,4.1.2_REN.ELECTRICITY.OUTPUT,1990,
BES Islands,4.1_SHARE.RE.IN.ELECTRICITY,1990,
BES Islands,3.1_RE.CONSUMPTION,1990,
BES Islands,2.1_SHARE.TOTAL.RE.IN.TFEC,1990,
BES Islands,4.1.1_TOTAL.ELECTRICITY.OUTPUT,1990,0
BES Islands,1.1_TOTAL.FINAL.ENERGY.CONSUM,1990,
Nauru,2.1_ACCESS.CFT.TOT,1990,
Nauru,1.2_ACCESS.ELECTRICITY.RURAL,1990,
Nauru,1.1_ACCESS.ELECTRICITY.TOT,1990,100
Nauru,1.3_ACCESS.ELECTRICITY.URBAN,1990,96.27315521
Nauru,6.1_PRIMARY.ENERGY.INTENSITY,1990,
Nauru,4.1.2_REN.ELECTRICITY.OUTPUT,1990,0
Nauru,4.1_SHARE.RE.IN.ELECTRICITY,1990,0
Nauru,3.1_RE.CONSUMPTION,1990,0
Nauru,2.1_SHARE.TOTAL.RE.IN.TFEC,1990,0
Nauru,4.1.1_TOTAL.ELECTRICITY.OUTPUT,1990,29
Nauru,1.1_TOTAL.FINAL.ENERGY.CONSUM,1990,1468.4
Niue,2.1_ACCESS.CFT.TOT,1990,
Niue,1.2_ACCESS.ELECTRICITY.RURAL,1990,
Niue,1.1_ACCESS.ELECTRICITY.TOT,1990,
Niue,1.3_ACCESS.ELECTRICITY.URBAN,1990,
Niue,6.1_PRIMARY.ENERGY.INTENSITY,1990,
Niue,4.1.2_REN.ELECTRICITY.OUTPUT,1990,0
Niue,4.1_SHARE.RE.IN.ELECTRICITY,1990,0
Niue,3.1_RE.CONSUMPTION,1990,0.33076
Niue,2.1_SHARE.TOTAL.RE.IN.TFEC,1990,0.572538772
Niue,4.1.1_TOTAL.ELECTRICITY.OUTPUT,1990,2.6
Niue,1.1_TOTAL.FINAL.ENERGY.CONSUM,1990,57.77076
Wallis and Futuna,2.1_ACCESS.CFT.TOT,1990,
Wallis and Futuna,1.2_ACCESS.ELECTRICITY.RURAL,1990,
Wallis and Futuna,1.1_ACCESS.ELECTRICITY.TOT,1990,
Wallis and Futuna,1.3_ACCESS.ELECTRICITY.URBAN,1990,
Wallis and Futuna,6.1_PRIMARY.ENERGY.INTENSITY,1990,
Wallis and Futuna,4.1.2_REN.ELECTRICITY.OUTPUT,1990,0
Wallis and Futuna,4.1_SHARE.RE.IN.ELECTRICITY,1990,0
Wallis and Futuna,3.1_RE.CONSUMPTION,1990,0
Wallis and Futuna,2.1_SHARE.TOTAL.RE.IN.TFEC,1990,
Wallis and Futuna,4.1.1_TOTAL.ELECTRICITY.OUTPUT,1990,0
Wallis and Futuna,1.1_TOTAL.FINAL.ENERGY.CONSUM,1990,0
Caucasian and Central Asia,2.1_ACCESS.CFT.TOT,1990,
Caucasian and Central Asia,1.2_ACCESS.ELECTRICITY.RURAL,1990,
Caucasian and Central Asia,1.1_ACCESS.ELECTRICITY.TOT,1990,
