Año,variable,value
2010,carbon_mineral,0.02004494655094471
2011,carbon_mineral,0.15384680442668003
2012,carbon_mineral,0.06057788549521582
2013,carbon_mineral,0.13298420207298367
2014,carbon_mineral,0.15969443714952186
2015,carbon_mineral,0.008706629015885993
2016,carbon_mineral,0.007995263679180072
2017,carbon_mineral,0.12517516305319548
2018,carbon_mineral,0.008143614610572291
2019,carbon_mineral,0.005944601563809405
2010,coque,1.7941601941965688
2011,coque,2.495593853028107
2012,coque,2.2281424951001534
2013,coque,2.186422476985669
2014,coque,2.1165659967353077
2015,coque,1.9973628864515025
2016,coque,2.0677373415623985
2017,coque,2.2146096060854243
2018,coque,2.0752889207092005
2019,coque,1.0083304344406998
2010,leña,9.387486387174345
2011,leña,8.618361052271869
2012,leña,8.010666239497176
2013,leña,7.849263656606049
2014,leña,7.123144300434089
2015,leña,6.732525266948356
2016,leña,6.019167091186958
2017,leña,5.97226248931066
2018,leña,5.051442456085984
2019,leña,5.006847959318624
2010,bagazo,6.596470681096971
2011,bagazo,5.188261972110635
2012,bagazo,5.327949188610699
2013,bagazo,6.420711846886447
2014,bagazo,6.641589297576197
2015,bagazo,6.26402155960353
2016,bagazo,5.96085670404339
2017,bagazo,5.473965677487321
2018,bagazo,5.3632601091056475
2019,bagazo,5.2857716982478244
2010,otros_res_veg,2.9478612095680043
2011,otros_res_veg,2.9861718437928686
2012,otros_res_veg,2.888571204999991
2013,otros_res_veg,2.7088697117350033
2014,otros_res_veg,2.80663777877332
2015,otros_res_veg,2.356747656144374
2016,otros_res_veg,2.2146466128962006
2017,otros_res_veg,1.9476312550953663
2018,otros_res_veg,1.8934226895898947
2019,otros_res_veg,1.9010299095131304
2010,carb_veg,0.02803207647472361
2011,carb_veg,0.02170770355653941
2012,carb_veg,0.023442067465203123
2013,carb_veg,0.02492152064102655
2014,carb_veg,0.030258909675127055
2015,carb_veg,0.03535513282522276
2016,carb_veg,0.026382594731150823
2017,carb_veg,0.027103154171970276
2018,carb_veg,0.02477138431290879
2019,carb_veg,0.02227329614389039
2010,casc_cafe,0.2516583018637508
2011,casc_cafe,0.27323917398764674
2012,casc_cafe,0.3037720453576012
2013,casc_cafe,0.300171222367068
2014,casc_cafe,0.23941935849309212
2015,casc_cafe,0.2309557726878272
2016,casc_cafe,0.2587068480646609
2017,casc_cafe,0.2342077483086702
2018,casc_cafe,0.20406007627284786
2019,casc_cafe,0.21736006836700159
2010,biogas,0.002005165278933579
2011,biogas,0.0020069892898593946
2012,biogas,0.0019957702843373267
2013,biogas,0.00197211302017003
2014,biogas,0.001950319002672516
2015,biogas,0.0018843632798667537
2016,biogas,0.0017931642448494164
2017,biogas,0.0017721743017062995
2018,biogas,0.0017790304448474434
2019,biogas,0.0017676293168147692
2010,electricidad,20.67689551325156
2011,electricidad,20.958103125285067
2012,electricidad,21.385976176694303
2013,electricidad,21.32700295901565
2014,electricidad,20.050289908804885
2015,electricidad,21.10877427952334
2016,electricidad,20.846333280939007
2017,electricidad,20.846343656414355
2018,electricidad,21.112910952363144
2019,electricidad,21.335933401327754
2010,glp,3.6243395947916404
2011,glp,3.720152662747869
2012,glp,3.7598006811702307
2013,glp,3.9266397387542527
2014,glp,4.170837645919907
2015,glp,4.239979074239063
2016,glp,4.417628781150162
2017,glp,4.640920931723856
2018,glp,4.823462346703208
2019,glp,5.0965303536664575
2010,gas_regular,12.835022713023495
2011,gas_regular,12.802477282592886
2012,gas_regular,12.718793727458666
2013,gas_regular,12.794542076333013
2014,gas_regular,12.567759102776016
2015,gas_regular,12.520542980211946
2016,gas_regular,12.084524436271773
2017,gas_regular,12.02801602864395
2018,gas_regular,12.07368074764371
2019,gas_regular,12.581577113879023
2010,gas_super,8.333265712096221
2011,gas_super,8.8607033309377
2012,gas_super,9.456157208208506
2013,gas_super,9.50248014365314
2014,gas_super,10.015332210773483
2015,gas_super,11.111070341975244
2016,gas_super,12.19735175088581
2017,gas_super,12.5174227251584
2018,gas_super,12.764872239486385
2019,gas_super,13.082872121119593
2010,kerosene,0.0863361130467923
2011,kerosene,0.11020317779569078
2012,kerosene,0.1862389597017753
2013,kerosene,0.16743434799958423
2014,kerosene,0.16805570574513767
2015,kerosene,0.18874727902295702
2016,kerosene,0.17024999668590107
2017,kerosene,0.1609637259315481
2018,kerosene,0.1443480643121267
2019,kerosene,0.11904370903934715
2010,jet_fuel,4.78705379456069
2011,jet_fuel,4.991462911945459
2012,jet_fuel,4.854075600041839
2013,jet_fuel,4.471138191036051
2014,jet_fuel,4.465142714432103
2015,jet_fuel,4.711467911532191
2016,jet_fuel,5.008100604681022
2017,jet_fuel,4.93988030278563
2018,jet_fuel,5.507114976858807
2019,jet_fuel,5.818248153337818
2010,av_gas,0.03895653881379653
2011,av_gas,0.03756224771255242
2012,av_gas,0.0358184779083379
2013,av_gas,0.034001050882403426
2014,av_gas,0.03125659761378792
2015,av_gas,0.030081403249886098
2016,av_gas,0.029087136182953412
2017,av_gas,0.031092008540827356
2018,av_gas,0.02409617473813171
2019,av_gas,0.024402618588238216
2010,diesel,25.059133933572962
2011,diesel,25.403846183535343
2012,diesel,25.254180776477153
2013,diesel,25.017229954431176
2014,diesel,25.254198013378026
2015,diesel,25.694114231718974
2016,diesel,25.9804288254644
2017,diesel,26.12118244850269
2018,diesel,26.284317600030395
2019,diesel,25.845604988051583
2010,gasoleo,0.1548872818804346
2011,gasoleo,0.16997655447193796
2012,gasoleo,0.1849018594782754
2013,gasoleo,0.1857300895827458
2014,gasoleo,0.17742109897579283
2015,gasoleo,0.1557304979905722
2016,gasoleo,0.17177684940923818
2017,gasoleo,0.21785461514837048
2018,gasoleo,0.23116240146563924
2019,gasoleo,0.22822252971323626
2010,fuel_oil,3.3783950080370913
2011,fuel_oil,3.206329842850054
2012,fuel_oil,3.318946222751149
2013,fuel_oil,2.9484912066214055
2014,fuel_oil,2.693113764746471
2015,fuel_oil,2.6119327335792666
2016,fuel_oil,2.5372267998871307
2017,fuel_oil,2.4996079868561982
2018,fuel_oil,2.411872086654166
2019,fuel_oil,2.4182277468449125
