Año,variable,value
2010,residencial,15.578860401897554
2011,residencial,14.774994827850854
2012,residencial,14.13038497541944
2013,residencial,13.811693978473771
2014,residencial,13.197407023072882
2015,residencial,12.882698110752417
2016,residencial,12.163684735224544
2017,residencial,12.026204687727471
2018,residencial,11.332817526570835
2010,servicios,4.094930973828688
2011,servicios,4.062306044407071
2012,servicios,4.0625020456524155
2013,servicios,4.037622418306991
2014,servicios,4.110457742419001
2015,servicios,4.133542354712586
2016,servicios,4.154057609381728
2017,servicios,4.178191876546804
2018,servicios,4.248424947207371
2010,comercial,2.3406268322584087
2011,comercial,2.3217944354348945
2012,comercial,2.3801574988708
2013,comercial,2.50169688742364
2014,comercial,2.5494190143100557
2015,comercial,2.5491520382682618
2016,comercial,2.5400982769096454
2017,comercial,2.5168146746251274
2018,comercial,2.596873745629701
2010,público,2.5778210116731515
2011,público,2.6367950027028653
2012,público,2.7689951100724652
2013,público,2.777077475031514
2014,público,2.85304328887864
2015,público,2.834800820388259
2016,público,2.764849192725385
2017,público,2.7311107875964478
2018,público,2.794082571742709
2010,transporte,46.85184691647567
2011,transporte,48.123677765097675
2012,transporte,48.513710780751886
2013,transporte,48.24784252884709
2014,transporte,48.80151684025776
2015,transporte,50.51584080502147
2016,transporte,51.63844007527091
2017,transporte,51.862570971029264
2018,transporte,53.072443702406645
2010,industria,25.315148446244866
2011,industria,24.67482197796331
2012,industria,24.70493509554015
2013,industria,25.207020265684086
2014,industria,25.113698963577896
2015,industria,23.773909918394914
2016,industria,23.4354445761882
2017,industria,23.320425098267577
2018,industria,22.84015613819743
2010,agropecuario,1.901551090027184
2011,agropecuario,2.063520665238486
2012,agropecuario,2.1222416422824897
2013,agropecuario,2.1157762047900706
2014,agropecuario,2.0843742393379197
2015,agropecuario,2.0615043343020196
2016,agropecuario,2.1141923419517346
2017,agropecuario,2.190129567622652
2018,agropecuario,1.9412562027702314
